"","Order","Family","Genus","Species","Length_mm","Mass_mg","Source","Class","Species_Name","Phylum","specific_epithet"
"1","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",5.1,NA,"Ana_UG","Arachnida",NA,NA,NA
"2","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",3,NA,"Ana_UG","Arachnida",NA,NA,NA
"3","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",NA,NA,"Ana_UG","Arachnida",NA,NA,NA
"4","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",3.4,NA,"Ana_UG","Arachnida",NA,NA,NA
"5","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",5.8,NA,"Ana_UG","Arachnida",NA,NA,NA
"6","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",4.95,NA,"Ana_UG","Arachnida",NA,NA,NA
"7","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",12.4,NA,"Ana_UG","Arachnida",NA,NA,NA
"8","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",5.5,NA,"Ana_UG","Arachnida",NA,NA,NA
"9","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",2.8,NA,"Ana_UG","Arachnida",NA,NA,NA
"10","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",7.75,NA,"Ana_UG","Arachnida",NA,NA,NA
"11","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",8.2,NA,"Ana_UG","Arachnida",NA,NA,NA
"12","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",7.9,NA,"Ana_UG","Arachnida",NA,NA,NA
"13","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",5.93,NA,"Ana_UG","Arachnida",NA,NA,NA
"14","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",7.9,NA,"Ana_UG","Arachnida",NA,NA,NA
"15","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",3.9,NA,"Ana_UG","Arachnida",NA,NA,NA
"16","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",5.3,NA,"Ana_UG","Arachnida",NA,NA,NA
"17","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",5.5,NA,"Ana_UG","Arachnida",NA,NA,NA
"18","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",10,NA,"Ana_UG","Arachnida",NA,NA,NA
"19","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",10,NA,"Ana_UG","Arachnida",NA,NA,NA
"20","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",NA,NA,"Ana_UG","Arachnida",NA,NA,NA
"21","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",2,NA,"Ana_UG","Arachnida",NA,NA,NA
"22","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",2,NA,"Ana_UG","Arachnida",NA,NA,NA
"23","Araneae","Sparassidae","Heteropoda","Heteropoda venatoria",19.58,NA,"Ana_UG","Arachnida",NA,NA,NA
